,name,ideal_point_0,ideal_point_1,ideal_point_2,ideal_point_3,ideal_point_4,ideal_point_5,ideal_point_6,ideal_point_7,ideal_point_8,ideal_point_9,ideal_point_10,ideal_point_11,ideal_point_12,ideal_point_13,ideal_point_14
48,"6222
",-0.061123542,-0.0020101082,0.06980693,0.27800196,-0.09740279,-0.05184568,-0.15602629,0.07449058,0.052671418,0.04956267,0.06779653,-0.016230818,-0.12934147,-0.085454896,0.1042342
49,"6232
",-0.04515583,-0.0009828863,-0.014507983,0.0316031,0.31632835,0.19936474,0.055369135,-0.04081794,0.11311253,-0.003905273,-0.43122438,0.05915437,0.085880235,0.20212425,-0.16167916
50,"6233
",0.7931962,-0.05896125,0.042647853,0.043627203,-0.18410921,0.0056881057,-0.0060468623,0.06116573,0.049174137,0.19912927,0.008713136,0.14196894,0.3730946,0.21033032,-0.10798833
51,"6240
",-0.26433918,-0.03260745,0.012635282,0.51952726,-0.006182037,0.031835902,-0.13099827,0.048786893,0.17434214,-0.050685603,-0.13384923,-0.09151654,0.78206795,0.35002217,-0.1225935
52,"6241
",-0.082197495,-0.033889614,-0.19772063,-0.2328225,-0.58519155,0.05447872,0.0049282615,-0.014096441,0.19970764,0.017244857,-0.41266096,0.066969536,0.47569373,0.026619796,-0.10197731
53,"6248
",-0.10269573,0.015957333,0.2327274,-0.06901872,-0.06835115,-0.089843124,0.12111902,-0.02077901,0.26998538,-0.15046425,0.048817698,0.0498128,0.2375841,0.008969504,0.009522256
54,"6250
",-0.019454168,-0.049576167,0.4760004,-0.15487884,0.16790651,0.6017339,0.59141195,0.06913351,-0.01761502,0.31715646,0.09877327,0.027000325,-0.040776946,0.19910373,-0.5569798
55,"6255
",0.028596412,-0.03669907,0.40414566,-0.081618115,-0.25442058,0.2916352,0.37853792,-0.2058103,0.24020727,0.061625794,0.7150968,0.038368735,-0.26423666,0.073603764,0.1694175
56,"6259
",-0.09561311,0.015182969,-0.06341946,-0.007874328,0.47612056,0.31051797,0.085094385,-0.08655962,0.23013684,0.980649,-0.03938179,-0.000120904246,-0.01653798,-0.031669892,-0.037966385
57,"6263
",-0.15948501,-0.045001537,0.17720814,-0.1534169,0.4935798,-0.08561105,-0.11982086,0.00414195,-0.225725,0.20529602,0.07845545,-0.29573348,-0.3747882,-0.62253636,0.016323337
58,"6267
",-0.034191,-0.05676207,0.15079618,0.0001321692,-0.019698165,-0.016830884,0.4976413,-0.030873587,0.053127367,0.21453975,0.2631437,-0.04117081,0.2806192,0.064868815,0.44288155
59,"6273
",0.007072995,-0.029961847,0.2317396,-0.19020657,-0.2314347,-0.007462397,0.44778517,-0.15136887,-0.04409145,0.049459036,-0.25081047,0.0051937588,0.17050034,0.44821367,0.01907632
60,"6285
",0.038010992,-0.044689804,0.7275104,-0.028160589,0.1910505,-0.056605697,-0.26800424,0.09377532,-0.017666737,0.018362468,0.62473845,0.041386276,-0.0063260077,-0.26449275,0.44461685
61,"6300
",0.38159624,-0.031827528,0.09684064,-0.076225154,-0.10591983,-0.038680688,-0.5296891,-0.13193686,0.19424014,0.21831468,0.78627616,0.12033192,0.082782194,0.6269868,-0.0055833627
62,"6301
",0.19527845,0.037523825,-0.08673368,-0.12962489,-0.106583476,-0.041426826,-0.09419099,-0.2441473,0.08795333,0.10370873,-0.5595899,0.027299067,0.8325908,0.0859413,-0.0017256688
63,"6311
",-0.03576791,-0.0028317035,0.23896489,0.02094054,-0.12193567,-0.04682609,0.032058388,0.09976411,0.024572885,0.18655391,0.050178304,0.028373264,-0.20878692,0.058828253,-0.2542969
64,"6317
",-0.19449015,-0.026441898,0.035394583,0.19466417,-0.004767645,-0.21295014,-0.08073175,-0.077822566,-0.026669865,0.46978727,0.05978506,0.023836207,0.02946405,-0.20288943,0.02577014
65,"6324
",0.5594765,-0.08304576,0.21224661,-0.08954314,0.298371,-0.0044116527,-0.030085875,0.07148404,-0.41763157,0.04238452,0.0991512,0.020923804,0.32539672,0.011592308,0.035658207
66,"6325
",-0.0617692,-0.024826003,0.106332295,-0.105487116,0.08083736,-0.04523861,0.10395662,-0.030796438,-0.17916158,-0.06345656,-0.18490094,-0.59077615,0.046549253,0.2065838,0.06953503
67,"6357
",0.5548119,0.0043681506,-0.13377781,0.064927824,0.08486464,-0.012266492,-0.023274746,0.04371165,-0.11142099,0.31213275,0.21292827,0.013691995,0.16222581,-0.08070991,-0.5042544
68,"6358
",-0.4008203,-0.046126265,-0.12164931,-0.115667805,-0.38334644,-0.08456155,-0.05735921,0.11842457,-0.22381572,-0.8406283,-0.13088527,0.046763156,0.3990209,0.3768096,-0.48927414
69,"6360
",-0.028819771,0.0067448523,0.32326898,0.11894095,-0.112497635,-0.056313563,0.01066972,0.42699936,-0.09091282,0.2728691,-0.62429225,-0.0037272153,0.07173642,-0.17417717,0.011845892
70,"6361
",0.06840876,0.011573417,0.5427465,0.9445373,0.6243151,0.17484942,-0.108774036,-0.054883357,-0.09267075,0.22323863,-0.41757324,0.0015983443,-0.18692599,-0.33204067,-0.28540632
71,"6363
",0.46750224,-0.011104284,-0.15388979,0.10526389,0.12927727,0.13019831,-0.089251,0.03331365,-0.0838119,0.006140291,0.06841863,-0.0029830954,0.65691227,0.43193313,-0.17671995
72,"6364
",-0.056584302,-0.07451386,-0.115671806,0.27082857,0.18203974,-0.24594945,0.09074685,0.3850926,0.0071793823,0.10558896,0.0983453,-0.039969876,0.19706346,0.053278774,0.086597845
